VISDATA
30
0 0
1 24  8 9 2 3 4 10 5 7 11 16 13 14 18 21 17 22 19 25 20 26 23 29 24 27 
2 24  1 4 5 7 8 16 9 3 18 10 21 11 22 25 13 14 26 17 29 19 27 20 23 24 
3 24  5 1 16 7 8 2 18 4 21 9 22 10 25 11 26 13 14 29 27 17 19 24 20 23 
4 24  2 16 1 7 18 5 21 3 8 22 9 25 10 26 11 29 13 27 14 17 24 19 23 20 
5 24  3 16 2 18 1 21 4 7 22 8 25 9 26 10 29 11 27 13 14 24 23 17 19 20 
6 0
7 24  9 10 2 11 3 4 1 8 5 13 14 16 17 18 19 21 20 22 23 25 24 26 27 29 
8 24  1 11 10 2 13 7 3 14 9 4 5 17 19 16 20 18 23 21 24 22 27 29 25 26 
9 24  7 1 11 13 14 10 2 8 3 17 4 5 19 20 16 23 18 24 21 27 29 22 25 26 
10 24  8 7 13 1 14 9 11 17 2 19 3 20 4 23 24 5 16 27 29 18 21 22 26 25 
11 24  8 13 9 14 7 17 1 10 19 20 2 23 3 24 4 27 5 29 16 18 26 21 25 22 
12 0
13 24  11 10 17 9 19 8 20 14 7 23 1 24 27 29 2 3 26 4 25 5 22 16 18 21 
14 24  11 19 10 20 17 9 8 23 13 24 7 27 1 29 2 26 3 25 4 22 5 21 16 18 
15 0
16 24  5 4 21 3 22 2 25 18 1 26 7 29 8 27 9 10 24 11 23 20 13 14 19 17 
17 24  13 20 23 14 11 19 24 10 9 27 8 29 7 1 26 25 2 22 3 21 4 18 5 16 
18 24  22 5 25 4 16 3 21 26 2 29 1 27 7 8 9 24 10 23 11 20 19 13 14 17 
19 24  14 23 24 13 20 17 27 11 29 10 9 8 26 7 1 25 22 2 21 3 18 16 4 5 
20 24  24 17 27 14 19 23 13 29 11 10 26 9 8 25 7 22 1 21 18 16 2 3 4 5 
21 24  25 16 26 22 5 4 18 3 29 2 27 1 7 24 8 23 9 20 10 19 11 17 14 13 
22 24  18 26 16 25 21 29 5 4 27 3 2 24 23 1 7 20 8 19 17 14 9 13 10 11 
23 24  27 19 29 17 24 20 14 13 26 11 25 10 22 9 8 21 7 18 16 1 5 2 4 3 
24 24  29 20 19 27 23 17 26 14 25 13 22 11 21 10 9 18 8 16 7 5 1 4 3 2 
25 24  21 22 18 29 26 16 27 24 5 4 23 3 2 20 19 17 1 14 7 13 8 11 9 10 
26 24  29 22 27 21 25 24 18 16 23 20 5 4 19 3 17 2 14 13 1 7 11 8 10 9 
27 24  23 20 26 24 29 19 25 17 22 14 21 13 18 16 11 10 5 9 4 8 3 7 2 1 
28 0
29 24  24 26 23 25 27 20 22 19 21 18 17 14 16 13 5 11 4 3 10 2 9 8 1 7 
